LUID,Date,Latitude,Longitude,Floor,BuildingID,Time
c6032091ae7d59226544c85eb7c6ce55bd3834d2fd29de55c2105a763571dba1,2018-02-09,38.99255839,-76.94401871,0,122,20:18:09
c6032091ae7d59226544c85eb7c6ce55bd3834d2fd29de55c2105a763571dba1,2018-02-09,38.99255839,-76.94401871,0,122,20:17:38
c6032091ae7d59226544c85eb7c6ce55bd3834d2fd29de55c2105a763571dba1,2018-02-09,38.99255839,-76.94401871,0,122,20:19:08
c6032091ae7d59226544c85eb7c6ce55bd3834d2fd29de55c2105a763571dba1,2018-02-09,38.99255839,-76.94401871,0,122,20:18:38
c6032091ae7d59226544c85eb7c6ce55bd3834d2fd29de55c2105a763571dba1,2018-02-09,38.99278692,-76.94273595,0,99,20:21:08
c6032091ae7d59226544c85eb7c6ce55bd3834d2fd29de55c2105a763571dba1,2018-02-09,38.99278692,-76.94273595,0,99,20:20:38
c6032091ae7d59226544c85eb7c6ce55bd3834d2fd29de55c2105a763571dba1,2018-02-09,38.99284373,-76.94269840000001,0,99,20:25:08
c6032091ae7d59226544c85eb7c6ce55bd3834d2fd29de55c2105a763571dba1,2018-02-09,38.99284373,-76.94269840000001,0,99,20:24:38
c6032091ae7d59226544c85eb7c6ce55bd3834d2fd29de55c2105a763571dba1,2018-02-09,38.99284373,-76.94269840000001,0,99,20:26:08
c6032091ae7d59226544c85eb7c6ce55bd3834d2fd29de55c2105a763571dba1,2018-02-09,38.99284373,-76.94269840000001,0,99,20:25:39
c6032091ae7d59226544c85eb7c6ce55bd3834d2fd29de55c2105a763571dba1,2018-02-09,38.99284373,-76.94269840000001,0,99,20:27:08
c6032091ae7d59226544c85eb7c6ce55bd3834d2fd29de55c2105a763571dba1,2018-02-09,38.99284373,-76.94269840000001,0,99,20:26:39
c6032091ae7d59226544c85eb7c6ce55bd3834d2fd29de55c2105a763571dba1,2018-02-09,38.99284373,-76.94269840000001,0,99,20:27:38
7e42508aef08732c22e48a257747c92f83ae625c804a78ae7337cdf1ab954a4e,2018-02-09,38.99198465731053,-76.94209953424858,8,98,00:00:10
7e42508aef08732c22e48a257747c92f83ae625c804a78ae7337cdf1ab954a4e,2018-02-09,38.99198465731053,-76.94209953424858,8,98,00:00:40
7e42508aef08732c22e48a257747c92f83ae625c804a78ae7337cdf1ab954a4e,2018-02-09,38.99198465731053,-76.94209953424858,8,98,00:01:11
7e42508aef08732c22e48a257747c92f83ae625c804a78ae7337cdf1ab954a4e,2018-02-09,38.99198465731053,-76.94209953424858,8,98,00:01:44
7e42508aef08732c22e48a257747c92f83ae625c804a78ae7337cdf1ab954a4e,2018-02-09,38.99198465731053,-76.94209953424858,8,98,00:02:42
7e42508aef08732c22e48a257747c92f83ae625c804a78ae7337cdf1ab954a4e,2018-02-09,38.99198465731053,-76.94209953424858,8,98,00:03:27
