,Unnamed: 0,LUID,Date,Latitude,Longitude,Floor,BuildingID,Time
10256,10256,cb20c2ad84d7a2643ee83c96bb22bb7c04563cc576a8af7e1f1ad6fb5d0e5c8b,2018-02-09,38.99035698156817,-76.93632203850909,5,115,01:20:18
10257,10257,cb20c2ad84d7a2643ee83c96bb22bb7c04563cc576a8af7e1f1ad6fb5d0e5c8b,2018-02-09,38.990337670022136,-76.93632690928388,5,115,01:21:18
10258,10258,cb20c2ad84d7a2643ee83c96bb22bb7c04563cc576a8af7e1f1ad6fb5d0e5c8b,2018-02-09,38.990337670022136,-76.93632690928388,5,115,01:21:50
10259,10259,cb20c2ad84d7a2643ee83c96bb22bb7c04563cc576a8af7e1f1ad6fb5d0e5c8b,2018-02-09,38.99042424942637,-76.93636464465936,5,115,01:26:48
10260,10260,cb20c2ad84d7a2643ee83c96bb22bb7c04563cc576a8af7e1f1ad6fb5d0e5c8b,2018-02-09,38.99042424942637,-76.93636464465936,5,115,01:26:48
10261,10261,cb20c2ad84d7a2643ee83c96bb22bb7c04563cc576a8af7e1f1ad6fb5d0e5c8b,2018-02-09,38.99042424942637,-76.93636464465936,5,115,01:26:48
10262,10262,cb20c2ad84d7a2643ee83c96bb22bb7c04563cc576a8af7e1f1ad6fb5d0e5c8b,2018-02-09,38.99042424942637,-76.93636464465936,5,115,01:26:48
10263,10263,cb20c2ad84d7a2643ee83c96bb22bb7c04563cc576a8af7e1f1ad6fb5d0e5c8b,2018-02-09,38.99042424942637,-76.93636464465936,5,115,01:26:48
10264,10264,cb20c2ad84d7a2643ee83c96bb22bb7c04563cc576a8af7e1f1ad6fb5d0e5c8b,2018-02-09,38.990336396190436,-76.93638318985958,5,115,01:26:48
10265,10265,cb20c2ad84d7a2643ee83c96bb22bb7c04563cc576a8af7e1f1ad6fb5d0e5c8b,2018-02-09,38.990336396190436,-76.93638318985958,5,115,01:26:48
10266,10266,cb20c2ad84d7a2643ee83c96bb22bb7c04563cc576a8af7e1f1ad6fb5d0e5c8b,2018-02-09,38.99032981941842,-76.93635974986896,5,115,01:26:48
10267,10267,cb20c2ad84d7a2643ee83c96bb22bb7c04563cc576a8af7e1f1ad6fb5d0e5c8b,2018-02-09,38.990337670022136,-76.93632690928388,5,115,01:21:53
10268,10268,cb20c2ad84d7a2643ee83c96bb22bb7c04563cc576a8af7e1f1ad6fb5d0e5c8b,2018-02-09,38.99042424942637,-76.93636464465936,5,115,01:26:48
10269,10269,cb20c2ad84d7a2643ee83c96bb22bb7c04563cc576a8af7e1f1ad6fb5d0e5c8b,2018-02-09,38.99033795907022,-76.93636386829921,5,115,01:27:48
10270,10270,cb20c2ad84d7a2643ee83c96bb22bb7c04563cc576a8af7e1f1ad6fb5d0e5c8b,2018-02-09,38.99032635818586,-76.93635336967311,5,115,01:28:48
10271,10271,cb20c2ad84d7a2643ee83c96bb22bb7c04563cc576a8af7e1f1ad6fb5d0e5c8b,2018-02-09,38.99033795907022,-76.93636386829921,5,115,01:27:48
10272,10272,cb20c2ad84d7a2643ee83c96bb22bb7c04563cc576a8af7e1f1ad6fb5d0e5c8b,2018-02-09,38.99035797160053,-76.93635579899654,5,115,01:28:48
10273,10273,cb20c2ad84d7a2643ee83c96bb22bb7c04563cc576a8af7e1f1ad6fb5d0e5c8b,2018-02-09,38.99035797160053,-76.93635579899654,5,115,01:29:48
10274,10274,cb20c2ad84d7a2643ee83c96bb22bb7c04563cc576a8af7e1f1ad6fb5d0e5c8b,2018-02-09,38.99035797160053,-76.93635579899654,5,115,01:29:48
10275,10275,cb20c2ad84d7a2643ee83c96bb22bb7c04563cc576a8af7e1f1ad6fb5d0e5c8b,2018-02-09,38.99032990257869,-76.93628382294992,5,115,01:30:49
10276,10276,cb20c2ad84d7a2643ee83c96bb22bb7c04563cc576a8af7e1f1ad6fb5d0e5c8b,2018-02-09,38.99032990257869,-76.93628382294992,5,115,01:30:49
10277,10277,cb20c2ad84d7a2643ee83c96bb22bb7c04563cc576a8af7e1f1ad6fb5d0e5c8b,2018-02-09,38.990337670022136,-76.93632690928388,5,115,01:32:18
10278,10278,cb20c2ad84d7a2643ee83c96bb22bb7c04563cc576a8af7e1f1ad6fb5d0e5c8b,2018-02-09,38.99032990257869,-76.93628382294992,5,115,01:31:19
10279,10279,cb20c2ad84d7a2643ee83c96bb22bb7c04563cc576a8af7e1f1ad6fb5d0e5c8b,2018-02-09,38.990337670022136,-76.93632690928388,5,115,01:32:18
10280,10280,cb20c2ad84d7a2643ee83c96bb22bb7c04563cc576a8af7e1f1ad6fb5d0e5c8b,2018-02-09,38.99037841313374,-76.93636469253597,4,115,01:33:18
10281,10281,cb20c2ad84d7a2643ee83c96bb22bb7c04563cc576a8af7e1f1ad6fb5d0e5c8b,2018-02-09,38.99039720231258,-76.93639292469061,4,115,01:33:18
