LUID	Date	Hour	Instances
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-27	6	120
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-27	7	120
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-27	8	120
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-27	9	116
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-27	10	119
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-27	11	118
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-27	12	120
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-27	13	115
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-27	14	112
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-27	15	120
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-27	16	118
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-27	17	119
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-27	18	119
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-27	19	120
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-27	20	120
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-27	21	120
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-27	22	120
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-27	23	120
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-28	0	120
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-28	1	120
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-28	2	120
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-28	3	120
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-28	4	120
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-28	5	120
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-28	6	120
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-28	7	120
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-28	8	120
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-28	9	120
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-28	10	120
